T   	x_agg
0   	  1.9404277893837611
1   	  1.9404277893836939
2   	  1.9415956041442555
3   	  1.9437220382316150
4   	  1.9466311928721545
5   	  1.9501520834626570
6   	  1.9541584615613736
7   	  1.9585418082890065
8   	  1.9632050345781176
9   	  1.9680611115598490
10  	  1.9730507652176381
11  	  1.9781647302410980
12  	  1.9833429940122058
13  	  1.9885590223421838
14  	  1.9938099973592542
15  	  1.9986402212492127
16  	  2.0034295091340060
17  	  2.0083897591914788
18  	  2.0134208688736770
19  	  2.0183662592476446
20  	  2.0230063315639923
21  	  2.0275350645555474
22  	  2.0320779050149604
23  	  2.0365709344741467
24  	  2.0410027526723630
25  	  2.0450587845287420
26  	  2.0492374384356450
27  	  2.0530792063017596
28  	  2.0570553988488570
29  	  2.0607993438215857
30  	  2.0643562093959440
31  	  2.0679775114311420
32  	  2.0714451742226103
33  	  2.0748533712208954
34  	  2.0781469572554580
35  	  2.0813149608202566
36  	  2.0838607007390090
37  	  2.0867681089728376
38  	  2.0895755035644250
39  	  2.0922849899408660
40  	  2.0949046404662424
41  	  2.0974229460256870
42  	  2.0998462335946820
43  	  2.1021776131050910
44  	  2.1044170013457886
45  	  2.1065677058971364
46  	  2.1086334749050772
47  	  2.1106167460394856
48  	  2.1125198181718168
49  	  2.1143448572078380
50  	  2.1160939014221767
51  	  2.1177688665266676
52  	  2.1193704661615183
53  	  2.1209015933256614
54  	  2.1223654142199660
55  	  2.1237649518151827
56  	  2.1251030922416847
57  	  2.1263825908875926
58  	  2.1276060782181930
59  	  2.1287760653287950
60  	  2.1298949492428280
61  	  2.1309650179662127
62  	  2.1319884553086460
63  	  2.1329673454819320
64  	  2.1339036774849360
65  	  2.1347993492843690
66  	  2.1356561718000817
67  	  2.1364758727031920
68  	  2.1372601000349434
69  	  2.1380104256537367
70  	  2.1387283485175606
71  	  2.1394152978084470
72  	  2.1400726359049194
73  	  2.1407018150003030
74  	  2.1413042370749380
75  	  2.1418810615549150
76  	  2.1424333908799190
77  	  2.1429622727050000
78  	  2.1434687019776484
79  	  2.1439536228940600
80  	  2.1444179307382374
81  	  2.1448624736071755
82  	  2.1452880540250890
83  	  2.1456954304494142
84  	  2.1460853186710143
85  	  2.1464583931106818
86  	  2.1468152880136130
87  	  2.1471565985385936
88  	  2.1474828176823500
89  	  2.1477945070532445
90  	  2.1480922430562335
91  	  2.1483766145290120
92  	  2.1486481875617978
93  	  2.1489075377967675
94  	  2.1491552153487620
95  	  2.1493917455748120
96  	  2.1496176301871630
97  	  2.1498333483173300
98  	  2.1500393575323730
99  	  2.1502360948054370
100 	  2.1504239774426380
101 	  2.1506034039682610
102 	  2.1507747549700380
103 	  2.1509384332617856
104 	  2.1510950297471760
105 	  2.1512451021002086
106 	  2.1513891753345717
107 	  2.1515277422749683
108 	  2.1516612639293470
109 	  2.1517901697608920
110 	  2.1519148578584635
111 	  2.1520356950036734
112 	  2.1521530166325890
113 	  2.1522671266895320
114 	  2.1523782973701890
115 	  2.1524867687506950
116 	  2.1525927482991890
117 	  2.1526964102654800
118 	  2.1527978949445337
119 	  2.1528973078085167
120 	  2.1529947185018950
121 	  2.1530901596935372
122 	  2.1531836257791020
123 	  2.1532772050729070
124 	  2.1533717907283725
125 	  2.1534674551920086
126 	  2.1535648595008300
127 	  2.1536645757542647
128 	  2.1537670406855822
129 	  2.1538725511578924
130 	  2.1539812590764240
131 	  2.1540933747293574
132 	  2.1542093272459250
133 	  2.1543292782780930
134 	  2.1544530318636386
135 	  2.1545813192064345
136 	  2.1547130423576397
137 	  2.1548495646100980
138 	  2.1549917446650833
139 	  2.1551407202852433
140 	  2.1552961596053786
141 	  2.1554585611911450
142 	  2.1556259726582097
143 	  2.1558001166697690
144 	  2.1559816611304408
145 	  2.1561799849293863
146 	  2.1563970649086780
147 	  2.1566313110442040
148 	  2.1568806918751666
149 	  2.1571437552808366
150 	  2.1574198102954950
151 	  2.1577069506264220
152 	  2.1580046069469216
153 	  2.1583103061444024
154 	  2.1586328373938490
155 	  2.1589763155940490
156 	  2.1593396549679698
157 	  2.1597271059750383
158 	  2.1601403688169240
159 	  2.1605871106799377
160 	  2.1610688313214050
161 	  2.1615889175273897
162 	  2.1621380171749490
163 	  2.1627056114842755
164 	  2.1633043909620400
165 	  2.1639337213537004
166 	  2.1645878281500233
167 	  2.1652675272416086
168 	  2.1659721846314260
169 	  2.1666995807532565
170 	  2.1674395189265790
171 	  2.1681973825655625
172 	  2.1689572785223366
173 	  2.1697218399010954
174 	  2.1704956126074130
175 	  2.1712644014378197
176 	  2.1720299761313466
177 	  2.1727966537774765
178 	  2.1735628571028345
179 	  2.1743339998352154
180 	  2.1751067117816100
181 	  2.1758726178521703
182 	  2.1766412874379397
183 	  2.1774133235131130
184 	  2.1781899107014400
185 	  2.1789698021592680
186 	  2.1797480161008314
187 	  2.1805177566036167
188 	  2.1812646939918867
189 	  2.1819812526068887
190 	  2.1826655607717710
191 	  2.1833190699958656
192 	  2.1839431664598474
193 	  2.1845391739559810
194 	  2.1851083566960767
195 	  2.1856519219930420
196 	  2.1861710228217603
197 	  2.1866667602646910
198 	  2.1871401858474324
199 	  2.1875923037691374
200 	  2.1880240730325706
