T   	x_agg
0   	  1.9404277893837611
1   	  1.9404277893837278
2   	  1.9429786910261395
3   	  1.9473779004881018
4   	  1.9531175221729993
5   	  1.9597872593625212
6   	  1.9670883999893911
7   	  1.9748363474171760
8   	  1.9828589903387150
9   	  1.9910294925357155
10  	  1.9992793955494224
11  	  2.0074883451630203
12  	  2.0155857236369260
13  	  2.0234565400203604
14  	  2.0310946027011196
15  	  2.0384838755893570
16  	  2.0456045192537620
17  	  2.0524263732557430
18  	  2.0589416115136520
19  	  2.0651636157459783
20  	  2.0711055836579180
21  	  2.0767801189600660
22  	  2.0821992581026065
23  	  2.0873744958062366
24  	  2.0923168094439930
25  	  2.0970366823257340
26  	  2.1015441259346640
27  	  2.1058487011629983
28  	  2.1099595385919385
29  	  2.1138853578588317
30  	  2.1176344861526823
31  	  2.1212148758772740
32  	  2.1246341215192480
33  	  2.1278994757570460
34  	  2.1310178648448064
35  	  2.1339959033038753
36  	  2.1368399079531146
37  	  2.1395559113076860
38  	  2.1421496743748480
39  	  2.1446266988738283
40  	  2.1469922389056952
41  	  2.1492513120980150
42  	  2.1514087102479036
43  	  2.1534690094860990
44  	  2.1554365799835224
45  	  2.1573155952209870
46  	  2.1591100408417450
47  	  2.1608237231055534
48  	  2.1624602769622423
49  	  2.1640231737619720
50  	  2.1655157286183980
51  	  2.1669411074404730
52  	  2.1683023336478010
53  	  2.1696022945836657
54  	  2.1708437476395080
55  	  2.1720293261037034
56  	  2.1731615447471250
57  	  2.1742428051573250
58  	  2.1752754008325980
59  	  2.1762615220468198
60  	  2.1772032604952990
61  	  2.1781026137315407
62  	  2.1789614894043505
63  	  2.1797817093041734
64  	  2.1805650132273990
65  	  2.1813130626666560
66  	  2.1820274443351050
67  	  2.1827096735320533
68  	  2.1833611973570870
69  	  2.1839833977795973
70  	  2.1845775945700927
71  	  2.1851450480996464
72  	  2.1856869620132600
73  	  2.1862044857830147
74  	  2.1866987171462102
75  	  2.1871707044338193
76  	  2.1876214487941774
77  	  2.1880519063164967
78  	  2.1884629900588966
79  	  2.1888555719851146
80  	  2.1892304848140465
81  	  2.1895885237860710
82  	  2.1899304483498474
83  	  2.1902569837732260
84  	  2.1905688226816150
85  	  2.1908666265271517
86  	  2.1911510269917170
87  	  2.1914226273268290
88  	  2.1916820036332190
89  	  2.1919297060827962
90  	  2.1921662600856740
91  	  2.1923921674046030
92  	  2.1926079072193030
93  	  2.1928139371428450
94  	  2.1930106941923113
95  	  2.1931985957157940
96  	  2.1933780402776137
97  	  2.1935494085037393
98  	  2.1937130638891710
99  	  2.1938693535689040
100 	  2.1940186090543150
101 	  2.1941611469362960
102 	  2.1942972695568100
103 	  2.1944272656501784
104 	  2.1945514109555497
105 	  2.1946699688017590
106 	  2.1947831906658957
107 	  2.1948913167067166
108 	  2.1949945762740453
109 	  2.1950931883952730
110 	  2.1951873622399236
111 	  2.1952772975633620
112 	  2.1953631851304536
113 	  2.1954452071202490
114 	  2.1955235375123823
115 	  2.1955983424561270
116 	  2.1956697806227945
117 	  2.1957380035423086
118 	  2.1958031559246310
119 	  2.1958653759667017
120 	  2.1959247956455763
121 	  2.1959815409983503
122 	  2.1960357323895360
123 	  2.1960874847663360
124 	  2.1961369079024773
125 	  2.1961841066310606
126 	  2.1962291810669172
127 	  2.1962722268189716
128 	  2.1963133351930310
129 	  2.1963525933854760
130 	  2.1963900846681880
131 	  2.1964258885652080
132 	  2.1964600810214043
133 	  2.1964927345635550
134 	  2.1965239184542110
135 	  2.1965536988385765
136 	  2.1965821388848510
137 	  2.1966092989181702
138 	  2.1966352365486150
139 	  2.1966600067933770
140 	  2.1966836621934720
141 	  2.1967062529251680
142 	  2.1967278269064425
143 	  2.1967484298985960
144 	  2.1967681056033410
145 	  2.1967868957554830
146 	  2.1968048402114615
147 	  2.1968219770338650
148 	  2.1968383425721933
149 	  2.1968539715399570
150 	  2.1968688970882820
151 	  2.1968831508762605
152 	  2.1968967631380996
153 	  2.1969097627472136
154 	  2.1969221772775294
155 	  2.1969340330619270
156 	  2.1969453552481150
157 	  2.1969561678519690
158 	  2.1969664938084734
159 	  2.1969763550203720
160 	  2.1969857724046010
161 	  2.1969947659367106
162 	  2.1970033546931953
163 	  2.1970115568919413
164 	  2.1970193899309263
165 	  2.1970268704250713
166 	  2.1970340142415017
167 	  2.1970408365332257
168 	  2.1970473517712310
169 	  2.1970535737752144
170 	  2.1970595157428803
171 	  2.1970651902779377
172 	  2.1970706094168357
173 	  2.1970757846543060
174 	  2.1970807269677173
175 	  2.1970854468403690
176 	  2.1970899542837627
177 	  2.1970942588587780
178 	  2.1970983696960050
179 	  2.1971022955150783
180 	  2.1971060446431863
181 	  2.1971096250327293
182 	  2.1971130442782100
183 	  2.1971163096322925
184 	  2.1971194280212410
185 	  2.1971224060595730
186 	  2.1971252500641080
187 	  2.1971279660673644
188 	  2.1971305598303450
189 	  2.1971330368547783
190 	  2.1971354023947613
191 	  2.1971376614679223
192 	  2.1971398188660670
193 	  2.1971418791653243
194 	  2.1971438467358584
195 	  2.1971457257511666
196 	  2.1971475201968915
197 	  2.1971492338792893
198 	  2.1971508704333327
199 	  2.1971524333303770
200 	  2.1971539258855386
