T   	x_agg
0   	  1.9404277893837611
1   	  1.9404277893836077
2   	  1.9417814185956972
3   	  1.9442646617118289
4   	  1.9476465106897192
5   	  1.9517214469991630
6   	  1.9563548788495708
7   	  1.9614065674403156
8   	  1.9668068435387984
9   	  1.9724083739445757
10  	  1.9782094446851080
11  	  1.9841267089039370
12  	  1.9900970577940154
13  	  1.9960870997365930
14  	  2.0020608149776513
15  	  2.0079896610868700
16  	  2.0138762872892593
17  	  2.0196966282922130
18  	  2.0254250841163977
19  	  2.0310702242368840
20  	  2.0366029927702556
21  	  2.0420134396142027
22  	  2.0472844711755664
23  	  2.0524284117877234
24  	  2.0573980559516913
25  	  2.0622322082202307
26  	  2.0669124985687946
27  	  2.0714522443102650
28  	  2.0758388519769270
29  	  2.0800925370025145
30  	  2.0842114236865377
31  	  2.0881882993388667
32  	  2.0920379864262060
33  	  2.0957649782311790
34  	  2.0993712695825670
35  	  2.1028476876386963
36  	  2.1061894016356390
37  	  2.1094096512892793
38  	  2.1125114864967816
39  	  2.1154982582061950
40  	  2.1183727140608073
41  	  2.1211370230010016
42  	  2.1237940419330728
43  	  2.1263459786444690
44  	  2.1287954984084854
45  	  2.1311449490476226
46  	  2.1333973387869354
47  	  2.1355561816447180
48  	  2.1376248157915140
49  	  2.1396064537646096
50  	  2.1415022094974070
51  	  2.1433155669132895
52  	  2.1450498452220383
53  	  2.1467082061592397
54  	  2.1482935694808320
55  	  2.1498088844913100
56  	  2.1512570170432364
57  	  2.1526406979697100
58  	  2.1539625954718770
59  	  2.1552254967000644
60  	  2.1564317405631352
61  	  2.1575836945105054
62  	  2.1586838019897887
63  	  2.1597343964763738
64  	  2.1607377064219886
65  	  2.1616958599815360
66  	  2.1626108895271714
67  	  2.1634847359592393
68  	  2.1643192528231787
69  	  2.1651162102411450
70  	  2.1658772986666692
71  	  2.1666041324703342
72  	  2.1672982533640988
73  	  2.1679611336714340
74  	  2.1685941794503445
75  	  2.1691987334758043
76  	  2.1697760780879570
77  	  2.1703274379121360
78  	  2.1708539824564412
79  	  2.1713568285924616
80  	  2.1718370429242477
81  	  2.1722956440508060
82  	  2.1727336047265986
83  	  2.1731518539249480
84  	  2.1735512788084710
85  	  2.1739327266109010
86  	  2.1742970064341810
87  	  2.1746448909646390
88  	  2.1749771181120240
89  	  2.1752943925746610
90  	  2.1755973873342187
91  	  2.1758867450832170
92  	  2.1761630795882523
93  	  2.1764269769919222
94  	  2.1766790870995290
95  	  2.1769202700339000
96  	  2.1771513415831762
97  	  2.1773730742433886
98  	  2.1775861981381910
99  	  2.1777914018152247
100 	  2.1779893329188624
101 	  2.1781805987387135
102 	  2.1783657666326204
103 	  2.1785453643229364
104 	  2.1787198800639596
105 	  2.1788897626782737
106 	  2.1790554214591413
107 	  2.1792172259357656
108 	  2.1793755067396820
109 	  2.1795310266675080
110 	  2.1796842750476126
111 	  2.1798356895977370
112 	  2.1799856556262687
113 	  2.1801345050341534
114 	  2.1802825151096723
115 	  2.1804299071078246
116 	  2.1805760560028693
117 	  2.1807189206946953
118 	  2.1808602346638400
119 	  2.1810002233953054
120 	  2.1811390645908033
121 	  2.1812768440940484
122 	  2.1814121245215870
123 	  2.1815486414297110
124 	  2.1816866758149940
125 	  2.1818264127888334
126 	  2.1819679380644574
127 	  2.1821112340231330
128 	  2.1822561753391745
129 	  2.1824025241404020
130 	  2.1825496443800203
131 	  2.1826968082349990
132 	  2.1828436897307810
133 	  2.1829896471839545
134 	  2.1831334031879637
135 	  2.1832747031559670
136 	  2.1834155148118500
137 	  2.1835566451957540
138 	  2.1836987506896013
139 	  2.1838427254431445
140 	  2.1839890753353010
141 	  2.1841380631380910
142 	  2.1842896991481373
143 	  2.1844437307466085
144 	  2.1845996308317694
145 	  2.1847565850635946
146 	  2.1849128166320524
147 	  2.1850690218602185
148 	  2.1852263313319753
149 	  2.1853855062136414
150 	  2.1855471831402400
151 	  2.1857119866229970
152 	  2.1858798275499860
153 	  2.1860501295003822
154 	  2.1862218071147517
155 	  2.1863923127220510
156 	  2.1865617484942640
157 	  2.1867302551237330
158 	  2.1868986824001320
159 	  2.1870672485311460
160 	  2.1872353434635100
161 	  2.1874051195055593
162 	  2.1875733807351545
163 	  2.1877451512040484
164 	  2.1879230724473895
165 	  2.1881068394955990
166 	  2.1882936458762643
167 	  2.1884838643732576
168 	  2.1886860149039333
169 	  2.1888963522196580
170 	  2.1891132479114246
171 	  2.1893391950399255
172 	  2.1895746143102300
173 	  2.1898195991623220
174 	  2.1900739763076100
175 	  2.1903373868992590
176 	  2.1906087451859473
177 	  2.1908846003848130
178 	  2.1911609459747203
179 	  2.1914320998751370
180 	  2.1916910498411830
181 	  2.1919383451390140
182 	  2.1921745103150783
183 	  2.1924000463073607
184 	  2.1926154315079285
185 	  2.1928211227776813
186 	  2.1930175564153700
187 	  2.1932051490830880
188 	  2.1933842986900240
189 	  2.1935553852365280
190 	  2.1937187716200985
191 	  2.1938748044051732
192 	  2.1940238145582094
193 	  2.1941661181497360
194 	  2.1943020170247483
195 	  2.1944317994429950
196 	  2.1945557406904020
197 	  2.1946741036629960
198 	  2.1947871394245424
199 	  2.1948950877391060
200 	  2.1949981775795870
