T   	x_agg
0   	  1.9404277893837611
1   	  1.9404277893836814
2   	  1.9426021857277982
3   	  1.9464259482814135
4   	  1.9514668240500300
5   	  1.9574582636906106
6   	  1.9640417001438943
7   	  1.9710832148297468
8   	  1.9784319971962199
9   	  1.9859802956094499
10  	  1.9936117075268327
11  	  2.0012963914848580
12  	  2.0089731401587736
13  	  2.0165885815013570
14  	  2.0240834114771147
15  	  2.0314121739238793
16  	  2.0385266771754040
17  	  2.0454138682788210
18  	  2.0520656259569487
19  	  2.0584686088271610
20  	  2.0646277883388120
21  	  2.0705475805157616
22  	  2.0762279332123800
23  	  2.0816680422784857
24  	  2.0868671886324460
25  	  2.0918323348540020
26  	  2.0965740126839942
27  	  2.1011022798568390
28  	  2.1054267414343270
29  	  2.1095565701792770
30  	  2.1135005260121480
31  	  2.1172669745920545
32  	  2.1208639050614093
33  	  2.1242989469920030
34  	  2.1275793865683137
35  	  2.1307121820425143
36  	  2.1337039784938230
37  	  2.1365611219236444
38  	  2.1392896727162600
39  	  2.1418954184937324
40  	  2.1443838863922196
41  	  2.1467603547857640
42  	  2.1490298644824657
43  	  2.1511972294166672
44  	  2.1532670468599830
45  	  2.1552437071727217
46  	  2.1571314031164253
47  	  2.1589341387472794
48  	  2.1606557379092637
49  	  2.1622998523450130
50  	  2.1638699694416930
51  	  2.1653694196281730
52  	  2.1668013834393260
53  	  2.1681688982623992
54  	  2.1694748647796773
55  	  2.1707220531212400
56  	  2.1719131087407675
57  	  2.1730505580269304
58  	  2.1741368136621637
59  	  2.1751741797403117
60  	  2.1761648566539050
61  	  2.1771109457615063
62  	  2.1780144538449493
63  	  2.1788772973660300
64  	  2.1797013065315350
65  	  2.1804882291753840
66  	  2.1812397344660150
67  	  2.1819574164468980
68  	  2.1826427974177430
69  	  2.1832973311634776
70  	  2.1839224060379460
71  	  2.1845193479087466
72  	  2.1850894229696305
73  	  2.1856338404262305
74  	  2.1861537550609693
75  	  2.1866502696824910
76  	  2.1871244374648760
77  	  2.1875772641815700
78  	  2.1880097103387457
79  	  2.1884226932126905
80  	  2.1888170887954440
81  	  2.1891937336529126
82  	  2.1895534266993413
83  	  2.1898969308919070
84  	  2.1902249748490554
85  	  2.1905382543960097
86  	  2.1908374340406835
87  	  2.1911231483832156
88  	  2.1913960034620370
89  	  2.1916565780393530
90  	  2.1919054248287826
91  	  2.1921430716677170
92  	  2.1923700226369767
93  	  2.1925867591299872
94  	  2.1927937408739250
95  	  2.1929914069048033
96  	  2.1931801764987830
97  	  2.1933604500614834
98  	  2.1935326099772956
99  	  2.1936970214204930
100 	  2.1938540331297807
101 	  2.1940039781480514
102 	  2.1941471745287924
103 	  2.1942839260107230
104 	  2.1944145226620800
105 	  2.1945392414958613
106 	  2.1946583470574423
107 	  2.1947720919856843
108 	  2.1948807175488360
109 	  2.1949844541562773
110 	  2.1950835218472600
111 	  2.1951781307576406
112 	  2.1952684815656050
113 	  2.1953547659173350
114 	  2.1954371668334947
115 	  2.1955158590974957
116 	  2.1955910096261680
117 	  2.1956627778238627
118 	  2.1957313159205500
119 	  2.1957967692947200
120 	  2.1958592767817630
121 	  2.1959189709684290
122 	  2.1959759784741064
123 	  2.1960304202193424
124 	  2.1960824116823936
125 	  2.1961320631441140
126 	  2.1961794799219140
127 	  2.1962247625931420
128 	  2.1962680072084070
129 	  2.1963093054953470
130 	  2.1963487450531582
131 	  2.1963864095384364
132 	  2.1964223788426054
133 	  2.1964567292613784
134 	  2.1964895336565990
135 	  2.1965208616107996
136 	  2.1965507795747630
137 	  2.1965793510084990
138 	  2.1966066365158660
139 	  2.1966326939730605
140 	  2.1966575786514646
141 	  2.1966813433348120
142 	  2.1967040384311870
143 	  2.1967257120799210
144 	  2.1967464102537404
145 	  2.1967661768562470
146 	  2.1967850538150575
147 	  2.1968030811707306
148 	  2.1968202971617017
149 	  2.1968367383054090
150 	  2.1968524394757160
151 	  2.1968674339769136
152 	  2.1968817536143446
153 	  2.1968954287618914
154 	  2.1969084884263763
155 	  2.1969209603090880
156 	  2.1969328708645794
157 	  2.1969442453567310
158 	  2.1969551079123675
159 	  2.1969654815724260
160 	  2.1969753883408340
161 	  2.1969848492311814
162 	  2.1969938843112820
163 	  2.1970025127457570
164 	  2.1970107528366754
165 	  2.1970186220623780
166 	  2.1970261371145434
167 	  2.1970333139336190
168 	  2.1970401677426024
169 	  2.1970467130793310
170 	  2.1970529638273580
171 	  2.1970589332453523
172 	  2.1970646339952666
173 	  2.1970700781691375
174 	  2.1970752773148080
175 	  2.1970802424603635
176 	  2.1970849841375460
177 	  2.1970895124040850
178 	  2.1970938368650557
179 	  2.1970979666932210
180 	  2.1971019106484975
181 	  2.1971056770965474
182 	  2.1971092740265243
183 	  2.1971127090679950
184 	  2.1971159895071500
185 	  2.1971191223022430
186 	  2.1971221140983506
187 	  2.1971249712414830
188 	  2.1971276997920324
189 	  2.1971303055376135
190 	  2.1971327940053700
191 	  2.1971351704736830
192 	  2.1971374399833570
193 	  2.1971396073483390
194 	  2.1971416771659090
195 	  2.1971436538264233
196 	  2.1971455415226746
197 	  2.1971473442587253
198 	  2.1971490658584550
199 	  2.1971507099736343
200 	  2.1971522800916636
