T   	x_agg
0   	  1.9404277893837611
1   	  1.9218374723430092
2   	  1.9031617861951944
3   	  1.8836609821120691
4   	  1.8683825092770270
5   	  1.8510777266221061
6   	  1.8354747513129561
7   	  1.8220739738951757
8   	  1.8083382290690300
9   	  1.7948607195213606
10  	  1.7816710172699393
11  	  1.7684669556747380
12  	  1.7563801714948941
13  	  1.7454567646552124
14  	  1.7345955454900577
15  	  1.7242862646790424
16  	  1.7137949702963389
17  	  1.7043154029046055
18  	  1.6956734695714502
19  	  1.6855496750519020
20  	  1.6759216851216685
21  	  1.6678767992799840
22  	  1.6594641681862277
23  	  1.6518248985177500
24  	  1.6444466183706930
25  	  1.6373430854782658
26  	  1.6307722213458775
27  	  1.6261575063088145
28  	  1.6209793609177945
29  	  1.6149109764221490
30  	  1.6101807477552752
31  	  1.6055014405174084
32  	  1.6009619603893730
33  	  1.5964363059665296
34  	  1.5915153068282850
35  	  1.5874522148608180
36  	  1.5829425898282050
37  	  1.5788880368048785
38  	  1.5762576689500516
39  	  1.5729653272235165
40  	  1.5698017088720613
41  	  1.5672384036037368
42  	  1.5653073032475637
43  	  1.5627307997691444
44  	  1.5598952682581426
45  	  1.5572062990895361
46  	  1.5554529372687710
47  	  1.5535466936339928
48  	  1.5517904454201340
49  	  1.5505336941694308
50  	  1.5488148338371760
51  	  1.5476106056250667
52  	  1.5461052833259454
53  	  1.5456370307689686
54  	  1.5443834087514972
55  	  1.5432545189178313
56  	  1.5422351160961723
57  	  1.5412714950460198
58  	  1.5404153088037990
59  	  1.5396934297732758
60  	  1.5390862170592938
61  	  1.5385916660185974
62  	  1.5387381040684325
63  	  1.5389210512734959
64  	  1.5391213454084687
65  	  1.5393339075055106
66  	  1.5395558957870800
67  	  1.5397840116443053
68  	  1.5400147672557600
69  	  1.5402449035935620
70  	  1.5404716968711099
71  	  1.5406946926107228
72  	  1.5409134431818254
73  	  1.5411275071206600
74  	  1.5413364484685834
75  	  1.5415398361258272
76  	  1.5417372432196106
77  	  1.5419283251091370
78  	  1.5421132375358590
79  	  1.5422915765283725
80  	  1.5424629387127750
81  	  1.5426269208104997
82  	  1.5427836159270518
83  	  1.5429333162472674
84  	  1.5430762967101166
85  	  1.5432128422748252
86  	  1.5433432436322678
87  	  1.5434677832051698
88  	  1.5435867320206500
89  	  1.5437003376011693
90  	  1.5438088327371693
91  	  1.5439124451254123
92  	  1.5440113942540095
93  	  1.5441058899665463
94  	  1.5441961326913412
95  	  1.5442823138416035
96  	  1.5443646162290543
97  	  1.5444432566282509
98  	  1.5445184943937733
99  	  1.5445905659895118
100 	  1.5446596848768960
101 	  1.5447260413403705
102 	  1.5447898022318280
103 	  1.5448511106304097
104 	  1.5449100854148667
105 	  1.5449668207450520
106 	  1.5450213854493240
107 	  1.5450738223161242
108 	  1.5451242111860783
109 	  1.5451726566858275
110 	  1.5452192282098456
111 	  1.5452639587945562
112 	  1.5453068438449302
113 	  1.5453478397829852
114 	  1.5453869906288010
115 	  1.5454243794085414
116 	  1.5454600854271510
117 	  1.5454941845015413
118 	  1.5455270858338745
119 	  1.5455591680277534
120 	  1.5455907398105460
121 	  1.5456221395129444
122 	  1.5456537854612746
123 	  1.5456858925239887
124 	  1.5457185647891100
125 	  1.5457517912941614
126 	  1.5457854412667970
127 	  1.5458192588510158
128 	  1.5458527975068002
129 	  1.5458857847203450
130 	  1.5459182976526378
131 	  1.5459500374316300
132 	  1.5459809815364403
133 	  1.5460113241518947
134 	  1.5460411501138875
135 	  1.5460704588631924
136 	  1.5460990350239725
137 	  1.5461267619360552
138 	  1.5461534239894126
139 	  1.5461788860965413
140 	  1.5462032022750714
141 	  1.5462267206289977
142 	  1.5462499545227466
143 	  1.5462741937116010
144 	  1.5463004926837838
145 	  1.5463307421169576
146 	  1.5463645541438968
147 	  1.5464029701509172
148 	  1.5464470399149064
149 	  1.5465003541229487
150 	  1.5465644023156901
151 	  1.5466435181531182
152 	  1.5467391303545006
153 	  1.5468525836964860
154 	  1.5469884441706248
155 	  1.5471447460213457
156 	  1.5473260364983348
157 	  1.5475395895778887
158 	  1.5477941855428854
159 	  1.5480975662545520
160 	  1.5484512755145263
161 	  1.5488652227417024
162 	  1.5493455353762549
163 	  1.5498993223004531
164 	  1.5505457747884015
165 	  1.5513041063282353
166 	  1.5521737813907160
167 	  1.5531581212064710
168 	  1.5542721188277335
169 	  1.5555318325068100
170 	  1.5569258776467365
171 	  1.5584873229661633
172 	  1.5602278733794392
173 	  1.5621598709196345
174 	  1.5642840790501810
175 	  1.5666264286465121
176 	  1.5692302801512630
177 	  1.5720856491888002
178 	  1.5752502888759140
179 	  1.5786492275176423
180 	  1.5823032572150080
181 	  1.5862184086116982
182 	  1.5903846801212833
183 	  1.5947734904023580
184 	  1.5993821481214376
185 	  1.6042523843584893
186 	  1.6094111658081904
187 	  1.6148475413106400
188 	  1.6205042041553155
189 	  1.6263809352018244
190 	  1.6324437920048216
191 	  1.6386930519909500
192 	  1.6450948744521525
193 	  1.6516160476124544
194 	  1.6582449889711868
195 	  1.6649190659239952
196 	  1.6716091407601972
197 	  1.6782709206899533
198 	  1.6848587438114737
199 	  1.6913047917340345
200 	  1.6975419250169060
